,location,start,stop
0,BR,170,171
1,BR,202,209
2,TL,267,277
3,BR,400,401
4,BR,432,478
5,BR,502,519
6,BR,702,709
7,BR,717,741
8,TL,827,831
9,TL,839,842
10,TL,872,912
11,TL,935,966
12,BR,1452,1455
13,TL,1579,1588
14,TL,1600,1601
15,TL,1617,1620
16,TL,1621,1623
17,TL,1624,1633
18,TL,1635,1645
19,TL,1715,1717
20,TL,1719,1720
21,TL,1733,1737
22,BR,2152,2172
23,TL,2236,2241
24,TL,2243,2244
25,TL,2254,2262
26,TL,2505,2512
27,BR,2649,2657
28,BR,2683,2691
29,BR,2696,2700
30,BR,2725,2730
31,TL,3201,3207
32,TL,3213,3222
33,TL,3272,3279
34,TL,3305,3308
35,TL,3310,3311
36,TL,3315,3317
37,BR,3433,3437
38,BR,3502,3509
39,BR,3572,3594
40,BR,3618,3640
41,BR,3659,3674
42,BR,4355,4362
43,BR,4375,4382
44,BR,4384,4385
45,BR,4438,4439
46,BR,4540,4543
47,BR,4596,4597
48,BR,4605,4607
49,TL,4865,4873
50,TL,4936,4938
51,TL,4951,4957
52,TL,5002,5009
53,BR,5159,5167
54,BR,5250,5266
55,BR,5275,5277
56,BR,5311,5324
57,TL,5622,5630
58,TL,5636,5640
59,TL,5668,5674
60,TL,5684,5685
61,TL,5687,5691
62,TL,5697,5702
63,TL,5718,5720
64,TL,5723,5726
65,TL,5857,5859
66,TL,6352,6357
67,BR,6606,6607
68,BR,6619,6658
69,BR,6690,6693
70,BR,6698,6706
71,BR,6710,6721
72,BR,6735,6748
73,BR,6753,6763
74,BR,6861,6868
75,BR,6908,6915
76,TL,7612,7619
77,TL,7664,7668
78,TL,7670,7672
79,TL,7762,7787
80,BR,8041,8046
81,BR,8095,8098
82,BR,8108,8110
83,BR,8124,8129
84,BR,8142,8143
85,BR,8309,8319
86,BR,8325,8327
87,BR,8337,8347
88,BR,8348,8359
89,BR,8369,8371
90,BR,8448,8449
91,BR,8453,8460
92,BR,8467,8475
93,BR,8515,8539
94,TL,8969,8976
